food_id,alimento,agua,alcohol,calcio,carbohidratos,colesterol,equivalentes_de_niacina_totales,fibra_dietetica_total,folato_total,fósforo,grasa_total,hierro_total,ioduro,magnesio,potasio,proteina_total,riboflavina,selenio_total,sodio,tiamina,viamina_e_equivalentes_de_alfa_tocoferol_de_actividades_de_vitámeros_e,vitamina_a_equivalentes_de_retinol_de_actividades_de_retinos_y_carotenoides,vitamina_b12,vitamina_b6_total,vitamina_c,vitamina_d,zinc,ácido_graso_120,ácido_graso_140,ácido_graso_160,ácido_graso_180,ácido_graso_181_n9_cis,ácido_graso_182,ácido_graso_183,ácido_graso_204_n6,ácido_graso_205,ácido_graso_226_n3,ácidos_grasos_monoinsaturados_totales,ácidos_grasos_poliinsaturados_totales,ácidos_grasos_saturados_totales,energia_kj,energia_kcal
2320,"Calamar, asado",81.2,0.0,17.64,0.5,222.0,3.24,0.0,0.0,209.95,1.3,1.57,0.0,32.3,83.25,16.58,0.11,44.8,247.6,0.06,2.16,63.0,1.14,0.05,0.0,0.0,1.53,,,,,,,,,,,0.09,0.43,0.31,338.0,81.0
2321,Camarón,80.3,0.0,79.0,1.5,195.0,3.2,0.0,12.0,180.0,0.6,1.6,90.0,34.0,330.0,17.6,0.1,24.3,190.0,0.04,2.85,0.0,7.0,0.05,0.0,0.0,1.5,,,,,,0.002,0.004,0.001,0.161,0.185,0.2,0.1,0.1,347.0,83.0
2322,Longaniza,47.5,0.0,20.0,0.0,88.5,0.25,0.0,0.9,160.0,27.5,1.6,10.9,200.0,200.0,25.0,0.15,21.1,70.0,0.2,0.29,0.0,0.9,0.14,0.0,0.0,1.2,,,,,,,,,,,12.03,4.65,11.25,1443.0,346.0
2323,Calamares en aceite vegetal,63.1,0.0,17.2,0.6,66.9,17.1,0.0,1.0,272.0,13.8,1.01,5.57,28.9,278.0,22.5,0.15,39.0,382.0,0.12,1.5,125.0,9.8,0.06,0.09,2.9,0.51,,,,,,,,,,,5.9,3.3,2.3,903.0,217.0
2324,Cangrejo,75.4,0.0,30.0,,100.0,6.3,0.0,20.0,160.0,5.1,1.3,40.0,48.0,270.0,19.5,0.15,37.4,370.0,0.1,2.3,0.0,0.0,0.3,0.0,0.0,3.8,,,,,,,,,,,1.13,2.18,0.69,518.0,124.0
2325,Cangrejo de río crudo,75.4,0.0,30.0,0.0,100.0,6.3,0.0,20.0,176.0,5.1,1.3,40.0,48.0,270.0,19.5,0.15,3.0,370.0,0.1,2.3,0.0,0.0,0.35,0.0,0.0,3.8,,,,,,,,,,,1.26,2.42,0.77,520.0,125.0
2326,Caracol,79.2,0.0,10.0,2.0,50.0,1.4,0.0,6.0,272.0,1.4,3.5,,250.0,382.0,16.1,0.12,27.4,70.0,0.01,5.0,30.0,0.5,0.13,0.0,0.0,1.0,,,,,,,,,,,0.259,0.252,0.361,360.0,86.0
2327,"Cardo, tallo, en conserva",95.0,0.0,72.0,2.4,0.0,0.3,1.7,22.0,23.0,0.11,0.73,0.4,43.0,392.0,0.76,0.031,0.7,176.0,0.018,0.9,6.0,0.0,0.042,1.7,0.0,0.18,,,,,,,,,,,0.02,0.044,0.012,58.0,14.0
2328,"Centollo, crudo",74.7,0.0,29.0,0.0,100.0,6.1,0.0,20.0,312.0,5.2,1.3,40.0,48.0,270.0,20.1,0.15,37.4,370.0,0.1,2.3,0.0,0.0,0.35,0.0,0.0,5.5,,,,,,,,,,,1.28,2.47,0.79,534.0,128.0
2329,Chipiron,81.7,0.0,144.0,0.7,167.5,7.04,0.0,5.12,190.0,1.4,0.32,64.0,37.84,280.0,16.25,0.15,44.8,110.0,0.07,2.7,77.03,1.31,0.03,0.0,0.0,1.08,,,,,,,,,,,0.1,0.5,0.408,340.0,82.0
2330,Chirla,88.8,0.0,128.0,0.0,40.0,4.1,0.0,17.0,130.0,0.5,24.0,160.0,51.0,43.0,10.7,0.14,45.0,601.0,0.04,0.4,250.0,0.0,0.1,0.0,0.0,1.3,,,,,,,,,,,0.03,0.13,0.05,196.0,47.0
2331,Cigala,80.4,0.0,100.0,0.5,105.0,1.3,0.0,17.0,300.0,1.4,1.0,30.0,30.0,400.0,17.7,0.05,41.4,400.0,0.08,1.5,0.0,1.0,0.1,0.0,0.0,0.8,,,,,,,,,,,0.2,0.5,0.2,361.0,87.0
2332,Congrio,78.5,0.0,30.0,0.0,40.0,5.5,0.0,13.0,202.0,2.8,0.7,4.0,30.0,340.0,19.0,0.37,30.0,50.0,0.17,4.1,500.0,1.0,0.28,0.0,22.0,2.0,,,,,,,,,,,0.91,0.37,0.55,427.0,102.0
2333,"Dorada, plancha",80.3,0.0,184.0,0.0,42.0,5.0,0.0,0.0,180.0,2.7,0.9,0.0,25.0,300.0,17.0,0.08,0.0,73.0,0.05,1.25,85.0,2.0,0.16,0.0,0.0,0.5,,,,,,,,,,,0.8,0.5,0.5,389.0,93.0
2334,"Faneca, cruda",82.6,0.0,30.0,1.0,48.0,5.0,0.0,10.4,210.0,1.0,0.8,7.0,25.0,316.0,15.4,0.08,45.0,141.0,0.06,1.5,9.0,2.9,0.05,0.0,0.19,0.5,,,,,,,,,,,0.18,0.27,0.25,316.0,76.0
2335,"Fletan, crudo",80.7,0.0,33.4,0.5,56.6,6.28,0.0,9.26,195.0,1.3,0.55,16.14,28.3,309.0,17.501,0.09,24.0,100.0,0.08,1.05,20.0,0.95,0.6,0.0,0.0,0.48,,,,,,,,,,,0.3,0.5,0.2,354.0,85.0
2336,Gallo,82.3,0.0,33.6,0.0,62.2,3.7,0.0,11.2,260.0,1.9,0.96,16.0,42.1,250.0,15.8,0.1,24.0,150.0,0.08,0.0,0.0,1.1,0.38,0.0,0.0,0.4,,0.057,0.304,0.14,0.272,0.027,0.014,0.027,0.09,0.205,0.39,0.61,0.33,339.0,81.0
